epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8419.48,1.11739,0.26194,0.10496,0.59502,1.07295,0.88023,0.85073,0.89696,0.61328,0.32626,0.22574,0.26394,0.26237,1.22548,0.9402,0.1602,0.61954,1.13309,0.00149207,0.00149207,0.00149207
55,8574.87,1.11337,0.33263,0.10019,0.59395,1.07154,0.86544,0.86905,0.90021,0.61481,0.32758,0.22092,0.26268,0.26077,1.22887,0.9394,0.15463,0.61785,1.13186,0.00148876,0.00148876,0.00148876
56,8730.76,1.0965,0.27691,0.10213,0.58229,1.06591,0.87452,0.8651,0.89717,0.61102,0.32158,0.22303,0.2671,0.26555,1.23578,0.93799,0.15231,0.62193,1.13853,0.00148546,0.00148546,0.00148546
57,8886.4,1.11634,0.35289,0.10037,0.59881,1.07169,0.85994,0.86577,0.89934,0.61561,0.33545,0.22001,0.26947,0.26783,1.22413,0.93859,0.14766,0.6124,1.13156,0.00148216,0.00148216,0.00148216
58,9042.87,1.09732,0.25944,0.09263,0.58503,1.06465,0.88517,0.85372,0.89791,0.61954,0.3244,0.22216,0.26466,0.26262,1.2115,0.93963,0.17025,0.61186,1.12506,0.00147886,0.00147886,0.00147886
59,9198.83,1.08718,0.31849,0.09284,0.57682,1.05773,0.87501,0.84636,0.89922,0.61396,0.30746,0.22331,0.25995,0.25799,1.21868,0.9387,0.14489,0.61351,1.12973,0.00147556,0.00147556,0.00147556
60,9355.38,1.09761,0.30664,0.09709,0.57912,1.06417,0.88321,0.83989,0.88864,0.60865,0.32933,0.22061,0.26856,0.26641,1.22311,0.94254,0.15871,0.62264,1.12986,0.00147226,0.00147226,0.00147226
61,9511.18,1.08883,0.27388,0.08777,0.57659,1.05878,0.85366,0.87446,0.89322,0.61507,0.3386,0.2173,0.27298,0.27162,1.21818,0.94124,0.22467,0.61304,1.13186,0.00146896,0.00146896,0.00146896
62,9667.89,1.07988,0.26361,0.0918,0.57309,1.05749,0.88121,0.84668,0.90087,0.61399,0.32358,0.22393,0.26651,0.26489,1.22801,0.93831,0.18271,0.61675,1.13058,0.00146566,0.00146566,0.00146566
63,9824.69,1.08168,0.318,0.08847,0.57478,1.0616,0.88839,0.84195,0.89766,0.6168,0.33068,0.21779,0.27236,0.27124,1.22506,0.93765,0.17048,0.60826,1.13692,0.00146236,0.00146236,0.00146236
64,9981.6,1.08458,0.33765,0.08109,0.56673,1.05916,0.875,0.85551,0.89746,0.61815,0.32252,0.22453,0.26754,0.26599,1.22028,0.93518,0.14728,0.61216,1.12995,0.00145906,0.00145906,0.00145906
65,10137,1.0654,0.31314,0.08284,0.56222,1.05333,0.87471,0.86536,0.8995,0.61526,0.32601,0.22363,0.26743,0.2653,1.23122,0.93874,0.15827,0.60064,1.13781,0.00145576,0.00145576,0.00145576
66,10293.2,1.07525,0.31031,0.0937,0.566,1.05103,0.88671,0.84232,0.89353,0.61819,0.33784,0.22122,0.26609,0.26427,1.22211,0.9372,0.18667,0.61109,1.12866,0.00145246,0.00145246,0.00145246
67,10448.7,1.05995,0.24389,0.09342,0.56292,1.04509,0.8725,0.85069,0.89383,0.60981,0.32972,0.22333,0.26244,0.25989,1.23576,0.94199,0.1655,0.62033,1.13523,0.00144916,0.00144916,0.00144916
68,10604.2,1.06264,0.26917,0.09072,0.55802,1.05003,0.87829,0.85477,0.89474,0.61582,0.3144,0.22363,0.26309,0.26113,1.21506,0.93377,0.14019,0.60607,1.12485,0.00144586,0.00144586,0.00144586
69,10759.5,1.0744,0.33469,0.08889,0.56388,1.05398,0.87389,0.858,0.89927,0.61444,0.33358,0.22092,0.27086,0.26927,1.22598,0.93622,0.14771,0.61152,1.12624,0.00144256,0.00144256,0.00144256
70,10915.3,1.06113,0.29176,0.08182,0.56199,1.04565,0.87956,0.85586,0.90149,0.61915,0.32488,0.22365,0.26832,0.26654,1.2139,0.9414,0.1595,0.60202,1.12399,0.00143925,0.00143925,0.00143925
71,11070.7,1.04964,0.29904,0.08026,0.55286,1.04154,0.88624,0.85898,0.90694,0.62067,0.32427,0.22845,0.2624,0.26012,1.21362,0.9362,0.15247,0.59844,1.13155,0.00143595,0.00143595,0.00143595
72,11226.1,1.03959,0.32577,0.08093,0.53971,1.04045,0.89498,0.85219,0.89966,0.61783,0.315,0.22694,0.26021,0.25787,1.22601,0.9345,0.15121,0.60027,1.13138,0.00143265,0.00143265,0.00143265
73,11381.8,1.06658,0.3154,0.08797,0.55195,1.048,0.88679,0.85492,0.90668,0.61894,0.33892,0.22092,0.26577,0.26312,1.23381,0.93511,0.14188,0.60198,1.13569,0.00142935,0.00142935,0.00142935
74,11536.5,1.05563,0.29584,0.08757,0.54671,1.04376,0.88394,0.86504,0.9024,0.62129,0.31964,0.22242,0.26436,0.26185,1.22089,0.93306,0.1498,0.59809,1.13089,0.00142605,0.00142605,0.00142605
75,11692.2,1.04573,0.31133,0.08127,0.54618,1.03601,0.88401,0.85734,0.89679,0.61585,0.33057,0.22212,0.26549,0.26363,1.22933,0.93492,0.20381,0.60052,1.1366,0.00142275,0.00142275,0.00142275
76,11847,1.03835,0.34259,0.08101,0.54254,1.03745,0.89355,0.84035,0.89858,0.61652,0.31745,0.22544,0.26259,0.26104,1.23005,0.9333,0.14959,0.59722,1.13781,0.00141945,0.00141945,0.00141945
77,12002,1.03351,0.3366,0.07582,0.53747,1.0324,0.89342,0.85526,0.90338,0.6218,0.32139,0.22343,0.26646,0.26524,1.22176,0.93795,0.15848,0.59359,1.13297,0.00141615,0.00141615,0.00141615
78,12157.6,1.03055,0.27109,0.08401,0.53936,1.03456,0.88535,0.85451,0.89944,0.61949,0.31513,0.22725,0.26865,0.26689,1.22372,0.93834,0.19226,0.59439,1.13378,0.00141285,0.00141285,0.00141285
79,12313,1.03466,0.28647,0.08593,0.54774,1.03571,0.89603,0.84911,0.9005,0.62284,0.3287,0.21911,0.26569,0.26393,1.22309,0.93885,0.21204,0.60143,1.13125,0.00140955,0.00140955,0.00140955
80,12467.5,1.02517,0.31391,0.07915,0.53012,1.03519,0.89233,0.85693,0.90418,0.62163,0.32154,0.22483,0.26753,0.26567,1.22117,0.94116,0.15303,0.58856,1.12971,0.00140625,0.00140625,0.00140625
81,12623.6,1.03268,0.32685,0.07267,0.53003,1.03756,0.88764,0.8561,0.90388,0.61711,0.3117,0.22948,0.26197,0.25984,1.23627,0.93661,0.20356,0.58997,1.14316,0.00140295,0.00140295,0.00140295
82,12778.3,1.03719,0.25644,0.07469,0.53977,1.03729,0.88805,0.86102,0.90034,0.62004,0.32013,0.22272,0.26475,0.26325,1.22326,0.9343,0.16414,0.59587,1.13348,0.00139965,0.00139965,0.00139965
83,12933.5,1.00911,0.27201,0.06963,0.52698,1.02704,0.88729,0.85924,0.90336,0.62413,0.31601,0.23026,0.26262,0.26092,1.20792,0.93824,0.15751,0.58887,1.12838,0.00139635,0.00139635,0.00139635
84,13090.5,1.01912,0.24309,0.07613,0.53344,1.03212,0.89304,0.8552,0.90584,0.62683,0.3254,0.22664,0.2707,0.2693,1.21114,0.93407,0.15966,0.58131,1.12844,0.00139305,0.00139305,0.00139305
85,13246.7,1.01102,0.30861,0.07667,0.52593,1.02561,0.89518,0.84992,0.90582,0.62261,0.31009,0.22755,0.26217,0.26024,1.21542,0.93565,0.13528,0.58285,1.1286,0.00138974,0.00138974,0.00138974
86,13401.6,1.025,0.32947,0.07061,0.52515,1.02886,0.89594,0.85026,0.90432,0.61765,0.31263,0.22544,0.26065,0.25884,1.22727,0.93695,0.1364,0.59227,1.13228,0.00138644,0.00138644,0.00138644
87,13557.4,1.01621,0.30247,0.07514,0.52932,1.02877,0.88894,0.85848,0.90213,0.61883,0.31618,0.22499,0.26536,0.26392,1.22225,0.93905,0.15637,0.59431,1.13169,0.00138314,0.00138314,0.00138314
